1, 2020-05-25 08:38:48, DEPOSIT, 6960, SELF, 50438
2, 2020-04-27 22:03:55, DEPOSIT, 5348, SELF, 58322
3, 2020-12-19 12:45:07, DEPOSIT, 7304, SELF, 99277
4, 2020-04-07 20:10:03, WITHDRAWAL, 7709, ATM, 79460
5, 2020-04-19 11:46:35, WITHDRAWAL, 7008, POS, 70536
6, 2020-08-21 03:40:58, WITHDRAWAL, 5358, ATM, 43755
7, 2020-01-08 07:46:22, WITHDRAWAL, 6789, POS, 91149
8, 2020-02-01 13:10:04, DEPOSIT, 8042, SELF, 48510
9, 2020-02-09 13:09:22, DEPOSIT, 5665, SELF, 86810
10, 2020-04-05 14:03:56, DEPOSIT, 9861, SELF, 84718
11, 2020-12-05 04:36:10, WITHDRAWAL, 7012, POS, 79257
12, 2020-02-11 14:06:29, DEPOSIT, 7345, SELF, 51474
13, 2020-09-12 23:09:47, WITHDRAWAL, 5687, ATM, 70203
14, 2020-06-19 20:12:12, DEPOSIT, 7941, SELF, 46875
15, 2020-10-29 13:57:17, DEPOSIT, 6313, SELF, 79705
16, 2020-09-25 23:33:08, WITHDRAWAL, 5641, ATM, 93556
17, 2020-11-16 09:16:04, WITHDRAWAL, 6012, ATM, 88834
18, 2020-02-22 16:41:19, WITHDRAWAL, 7062, POS, 88341
19, 2020-05-17 17:01:48, DEPOSIT, 5128, SELF, 91553
20, 2020-02-08 04:18:21, WITHDRAWAL, 9858, POS, 74602
